archivo,fila,motivo,registro
cuadra.DBF,3,Fecha invalida o fuera de rango,"{'NUMERO': 3, 'FECHA': datetime.date(208, 10, 19), 'TURNO': 1, 'OPERADOR': '1009', 'COMBUST_V': 360000, 'OTROS_V': 0, 'DEPOSITO_V': 360000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': 0, 'PILOTO_V': 0}"
cuadra.DBF,39,OPERADOR vacio,"{'NUMERO': 39, 'FECHA': datetime.date(2018, 10, 25), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 40000, 'OTROS_V': 4500, 'DEPOSITO_V': 44500, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,46,OPERADOR vacio,"{'NUMERO': 46, 'FECHA': datetime.date(2018, 10, 26), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 0, 'OTROS_V': 0, 'DEPOSITO_V': 0, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': 0, 'PILOTO_V': 0}"
cuadra.DBF,83,OPERADOR vacio,"{'NUMERO': 83, 'FECHA': datetime.date(2018, 11, 1), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 0, 'OTROS_V': 29800, 'DEPOSITO_V': 29800, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,142,OPERADOR vacio,"{'NUMERO': 142, 'FECHA': datetime.date(2018, 11, 10), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 240000, 'OTROS_V': 0, 'DEPOSITO_V': 240000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,149,OPERADOR vacio,"{'NUMERO': 149, 'FECHA': datetime.date(2018, 11, 11), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 191900, 'OTROS_V': 0, 'DEPOSITO_V': 191900, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,188,OPERADOR vacio,"{'NUMERO': 188, 'FECHA': datetime.date(2018, 11, 17), 'TURNO': 3, 'OPERADOR': '', 'COMBUST_V': 280000, 'OTROS_V': 0, 'DEPOSITO_V': 280000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,193,OPERADOR vacio,"{'NUMERO': 193, 'FECHA': datetime.date(2018, 11, 18), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 50000, 'OTROS_V': 0, 'DEPOSITO_V': 50000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,202,OPERADOR vacio,"{'NUMERO': 202, 'FECHA': datetime.date(2018, 11, 19), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 40000, 'OTROS_V': 0, 'DEPOSITO_V': 40000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
cuadra.DBF,215,OPERADOR vacio,"{'NUMERO': 215, 'FECHA': datetime.date(2018, 11, 22), 'TURNO': 0, 'OPERADOR': '', 'COMBUST_V': 30000, 'OTROS_V': 0, 'DEPOSITO_V': 30000, 'VENTAS_V': 0, 'TRANSBNK_V': 0, 'TRANSFER_V': None, 'PILOTO_V': None}"
